Country,Date,Attack_Type,Attack_Count,Avg_Severity
USA,2024-01-01,DDoS,52,4.802857225639665
USA,2024-01-01,Malware,52,3.9279757672456204
USA,2024-01-01,Intrusion,52,3.3946339367881464
USA,2024-01-02,DDoS,52,1.6239780813448106
USA,2024-01-02,Malware,52,1.2323344486727978
USA,2024-01-02,Intrusion,52,4.46470458309974
USA,2024-01-03,DDoS,52,3.832290311184182
USA,2024-01-03,Malware,52,1.0823379771832098
USA,2024-01-03,Intrusion,52,4.879639408647977
USA,2024-01-04,DDoS,52,1.8493564427131046
USA,2024-01-04,Malware,52,1.7272998688284025
USA,2024-01-04,Intrusion,52,1.7336180394137353
USA,2024-01-05,DDoS,52,3.0990257265289514
USA,2024-01-05,Malware,52,2.727780074568463
USA,2024-01-05,Intrusion,52,2.1649165607921677
USA,2024-01-06,DDoS,52,1.5579754426081673
USA,2024-01-06,Malware,52,2.1685785941408726
USA,2024-01-06,Intrusion,52,2.465447373174767
USA,2024-01-07,DDoS,52,4.140703845572054
USA,2024-01-07,Malware,52,1.798695128633439
USA,2024-01-07,Intrusion,52,3.0569377536544464
USA,2024-01-08,DDoS,52,1.185801650879991
USA,2024-01-08,Malware,52,3.4301794076057535
USA,2024-01-08,Intrusion,52,1.6820964947491661
USA,2024-01-09,DDoS,52,4.7955421490133325
USA,2024-01-09,Malware,52,4.862528132298237
USA,2024-01-09,Intrusion,52,4.233589392465845
USA,2024-01-10,DDoS,52,1.3906884560255355
USA,2024-01-10,Malware,52,3.7369321060486276
USA,2024-01-10,Intrusion,52,2.760609974958405
USA,2024-01-11,DDoS,52,2.9807076404450807
USA,2024-01-11,Malware,52,1.1375540844608736
USA,2024-01-11,Intrusion,52,4.637281608315128
USA,2024-01-12,DDoS,52,3.650089137415928
USA,2024-01-12,Malware,52,2.246844304357644
USA,2024-01-12,Intrusion,52,3.0802720847112433
USA,2024-01-13,DDoS,52,1.7394178221021082
USA,2024-01-13,Malware,52,4.878338511058234
USA,2024-01-13,Intrusion,52,4.100531293444458
USA,2024-01-14,DDoS,148,4.579309401710596
USA,2024-01-14,Malware,148,3.3915999152443406
USA,2024-01-14,Intrusion,148,4.687496940092467
USA,2024-01-15,DDoS,52,1.7839314496765808
USA,2024-01-15,Malware,52,1.1809091556421523
USA,2024-01-15,Intrusion,52,2.3013213230530574
USA,2024-01-16,DDoS,52,2.0853961270955836
USA,2024-01-16,Malware,52,4.314950036607717
USA,2024-01-16,Intrusion,52,2.427013306774357
USA,2024-01-17,DDoS,52,3.170784332632994
USA,2024-01-17,Malware,52,1.5636968998990506
USA,2024-01-17,Intrusion,52,4.208787923016159
USA,2024-01-18,DDoS,52,4.947547746402069
USA,2024-01-18,Malware,52,4.08897907718663
USA,2024-01-18,Intrusion,52,1.7948627261366896
USA,2024-01-19,DDoS,52,4.261845713819337
USA,2024-01-19,Malware,52,3.8274293753904685
USA,2024-01-19,Intrusion,52,3.9160286721639492
USA,2024-01-20,DDoS,52,1.2961786069363614
USA,2024-01-20,Malware,52,2.4338629141770904
USA,2024-01-20,Intrusion,52,1.4634762381005189
USA,2024-01-21,DDoS,52,3.4931925073102317
USA,2024-01-21,Malware,52,2.3235920994105967
USA,2024-01-21,Intrusion,52,1.2542334011440945
USA,2024-01-22,DDoS,52,2.300733288106988
USA,2024-01-22,Malware,52,3.9184247133522563
USA,2024-01-22,Intrusion,52,3.5502298854208525
USA,2024-01-23,DDoS,52,2.888859700647797
USA,2024-01-23,Malware,52,1.4783769837532068
USA,2024-01-23,Intrusion,52,3.85297914889198
USA,2024-01-24,DDoS,52,3.245108790277985
USA,2024-01-24,Malware,52,4.083868719818244
USA,2024-01-24,Intrusion,52,2.975182385457563
USA,2024-01-25,DDoS,52,2.7101640734341985
USA,2024-01-25,Malware,52,1.1016765069763808
USA,2024-01-25,Intrusion,52,1.4315657079732178
USA,2024-01-26,DDoS,52,3.5456416450551216
USA,2024-01-26,Malware,52,2.2574239243053067
USA,2024-01-26,Intrusion,52,3.034282764658811
USA,2024-01-27,DDoS,114,1.9971689165954998
USA,2024-01-27,Malware,114,2.641531692142519
USA,2024-01-27,Intrusion,114,4.022204554172195
USA,2024-01-28,DDoS,53,1.307919639315172
USA,2024-01-28,Malware,53,2.159005811655072
USA,2024-01-28,Intrusion,53,1.6448851490160177
USA,2024-01-29,DDoS,182,4.232481518257668
USA,2024-01-29,Malware,182,3.533615026041694
USA,2024-01-29,Intrusion,182,4.485842360750871
USA,2024-01-30,DDoS,52,1.7462802355441434
USA,2024-01-30,Malware,52,4.570235993959911
USA,2024-01-30,Intrusion,52,3.157368967662603
USA,2024-01-31,DDoS,53,4.584365199693973
USA,2024-01-31,Malware,53,2.2720138998874555
USA,2024-01-31,Intrusion,53,1.440207698110707
USA,2024-02-01,DDoS,53,2.7084311545050253
USA,2024-02-01,Malware,53,4.272059063689973
USA,2024-02-01,Intrusion,53,4.442922333025374
USA,2024-02-02,DDoS,52,3.042989210310263
USA,2024-02-02,Malware,52,2.669644012595116
USA,2024-02-02,Intrusion,52,1.888431241882921
USA,2024-02-03,DDoS,52,2.350460685614512
USA,2024-02-03,Malware,52,4.771638815650077
USA,2024-02-03,Intrusion,52,2.292811728083021
USA,2024-02-04,DDoS,52,3.8120758355807114
USA,2024-02-04,Malware,52,2.454518409517176
USA,2024-02-04,Intrusion,52,4.887128330883843
USA,2024-02-05,DDoS,125,2.0071291833014566
USA,2024-02-05,Malware,125,2.988994023569542
USA,2024-02-05,Intrusion,125,2.2035132392670786
USA,2024-02-06,DDoS,52,1.1475477894181312
USA,2024-02-06,Malware,52,3.4382573359195874
USA,2024-02-06,Intrusion,52,3.010716092915446
USA,2024-02-07,DDoS,52,2.1145858569464457
USA,2024-02-07,Malware,52,4.633063543866615
USA,2024-02-07,Intrusion,52,1.9582475626678897
USA,2024-02-08,DDoS,52,2.957811041110252
USA,2024-02-08,Malware,52,4.942601816442403
USA,2024-02-08,Intrusion,52,1.9682210860460017
USA,2024-02-09,DDoS,53,4.04647846131487
USA,2024-02-09,Malware,53,1.9505501759695987
USA,2024-02-09,Intrusion,53,3.9128653944474383
USA,2024-02-10,DDoS,53,3.529223322374318
USA,2024-02-10,Malware,53,3.534118843043579
USA,2024-02-10,Intrusion,53,3.143098736299034
USA,2024-02-11,DDoS,53,4.341209982356952
USA,2024-02-11,Malware,53,2.2831202598869433
USA,2024-02-11,Intrusion,53,1.746074041599417
USA,2024-02-12,DDoS,53,3.3635717727529673
USA,2024-02-12,Malware,53,3.7102574473691297
USA,2024-02-12,Intrusion,53,1.0663513157114246
USA,2024-02-13,DDoS,53,1.9059831007917518
USA,2024-02-13,Malware,53,3.5806911616377994
USA,2024-02-13,Intrusion,53,1.6974657160199658
USA,2024-02-14,DDoS,52,2.5469413852021496
USA,2024-02-14,Malware,52,4.746919954946938
USA,2024-02-14,Intrusion,52,1.550083776583973
USA,2024-02-15,DDoS,53,1.4538940849623563
USA,2024-02-15,Malware,53,4.698774473114251
USA,2024-02-15,Intrusion,53,4.509357413523924
USA,2024-02-16,DDoS,54,3.639936184136716
USA,2024-02-16,Malware,54,4.268888800804863
USA,2024-02-16,Intrusion,54,3.2208032463978493
USA,2024-02-17,DDoS,53,1.9674091636018067
USA,2024-02-17,Malware,53,1.3724110712235968
USA,2024-02-17,Intrusion,53,4.5888630318133075
USA,2024-02-18,DDoS,203,3.5324058290930718
USA,2024-02-18,Malware,203,2.3561191641948027
USA,2024-02-18,Intrusion,203,2.3968382984506436
USA,2024-02-19,DDoS,53,4.588441039810308
USA,2024-02-19,Malware,53,4.548345697060469
USA,2024-02-19,Intrusion,53,4.1195021834304955
USA,2024-02-20,DDoS,54,1.3365598599801953
USA,2024-02-20,Malware,54,1.646514856378455
USA,2024-02-20,Intrusion,54,4.5942167541083165
USA,2024-02-21,DDoS,54,1.0367882064665186
USA,2024-02-21,Malware,54,1.4058861714641284
USA,2024-02-21,Intrusion,54,3.6540070764322232
USA,2024-02-22,DDoS,54,1.6432322056699946
USA,2024-02-22,Malware,54,3.1949351574663445
USA,2024-02-22,Intrusion,54,3.767580790770773
USA,2024-02-23,DDoS,54,1.8970772378422391
USA,2024-02-23,Malware,54,3.8487168853901434
USA,2024-02-23,Intrusion,54,1.9489963499872003
USA,2024-02-24,DDoS,54,3.9859656204720966
USA,2024-02-24,Malware,54,3.5985315961888587
USA,2024-02-24,Intrusion,54,4.396893641976712
USA,2024-02-25,DDoS,54,3.2732344133418865
USA,2024-02-25,Malware,54,1.37469907131237
USA,2024-02-25,Intrusion,54,2.470863212237734
USA,2024-02-26,DDoS,55,1.9759585735163343
USA,2024-02-26,Malware,55,4.892042219009783
USA,2024-02-26,Intrusion,55,2.5723908986670416
USA,2024-02-27,DDoS,53,3.5245545039890516
USA,2024-02-27,Malware,53,4.179245214166594
USA,2024-02-27,Intrusion,53,3.0105483724207684
USA,2024-02-28,DDoS,54,2.9700707752754556
USA,2024-02-28,Malware,54,1.780971951192178
USA,2024-02-28,Intrusion,54,3.8898084610460213
USA,2024-02-29,DDoS,55,1.0972638657258154
USA,2024-02-29,Malware,55,3.5818891836286713
USA,2024-02-29,Intrusion,55,1.7084427176281958
USA,2024-03-01,DDoS,149,4.8157143080103495
USA,2024-03-01,Malware,149,4.659457560881794
USA,2024-03-01,Intrusion,149,2.4806348010217776
